Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,7.7056884765625e-05,0.10056880871093962
16384,7.557868957519531e-05,0.20266501227361436
32768,7.405281066894532e-05,0.4127329683858486
65536,9.323358535766602e-05,0.6613780486817251
131072,0.00010277032852172852,1.2068604289011287
262144,0.00013602972030639647,1.840830268997132
524288,0.00021401643753051757,2.340605635297539
1048576,0.0003686666488647461,2.735107216785263
2097152,0.000769031047821045,2.658373846665775
4194304,0.0018268823623657227,2.1848049067815865
8388608,0.005248653888702393,1.519740933463813
16777216,0.010553491115570069,1.4879029896316447
33554432,0.02254253625869751,1.3948879682668731
67108864,0.0459293007850647,1.3699950644003427
134217728,0.09209616184234619,1.3677343824927244
268435456,0.1840981125831604,1.3687370522562283
536870912,0.36805779933929444,1.369381439081311
1073741824,0.7390592575073243,1.3637788672941933
