Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,9.154081344604492e-05,0.0885396435111417
16384,7.12752342224121e-05,0.21516451181792826
32768,0.00011361837387084961,0.3214099161059635
65536,0.00012133121490478515,0.5301570065085404
131072,0.00018639564514160155,0.7146697809403013
262144,0.00030692815780639646,0.8431350078223859
524288,0.0011113882064819336,0.5324048153043106
1048576,0.001692521572113037,0.5827590630685774
2097152,0.005965209007263184,0.32996535069684463
4194304,0.016536426544189454,0.2384355727053525
8388608,0.03626894950866699,0.2154940534975826
16777216,0.07805042266845703,0.20024851153746517
33554432,0.1608159899711609,0.19444722030556666
67108864,0.32466171979904174,0.19255823539155678
134217728,0.6591808080673218,0.1896717301141079
268435456,1.3279683589935303,0.18829735313360152
536870912,2.691875326633453,0.18579472377352343
1073741824,5.60235230922699,0.17856466599168488
