Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.00010074377059936524,0.0762387978137584
16384,9.263753890991211e-05,0.16529450867431913
32768,0.00010001659393310547,0.3057909615885675
65536,0.0001238107681274414,0.4939866830468286
131072,0.00017383098602294922,0.7239686535994264
262144,0.00022852420806884766,1.0962465824958703
524288,0.0005068182945251465,1.112349042465333
1048576,0.0008474111557006836,1.1882652925993962
2097152,0.0018567800521850585,1.06443024808896
4194304,0.0037295699119567873,1.0584923048479924
8388608,0.008659839630126953,0.9084819453191173
16777216,0.019554603099822997,0.8023072176502343
33554432,0.05261870622634888,0.593897423512
67108864,0.10912464857101441,0.5727451004613119
134217728,0.21905872821807862,0.5706424118695521
268435456,0.4394112706184387,0.5689552770658091
536870912,0.8772504806518555,0.5699656157889146
1073741824,1.7616005778312682,0.5676770293419383
