Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.00010350942611694335,0.07581803377028695
16384,0.0002745747566223145,0.16470588522524746
32768,8.879899978637695e-05,0.34532693610760296
65536,0.0001028895378112793,0.5958677363845386
131072,0.0008642077445983887,0.8218331527078835
262144,0.001900649070739746,0.7414626614277877
524288,0.0008897781372070312,1.044231081755692
1048576,0.0015022754669189453,0.8127889596168588
2097152,0.007065212726593018,0.2842370654977696
4194304,0.013321256637573243,0.29447690684143757
8388608,0.027324581146240236,0.28672427834850234
16777216,0.05490998029708862,0.28522735943251243
33554432,0.13777384757995606,0.22682636754098112
67108864,0.27741594314575196,0.2252978377513828
134217728,0.5568299770355225,0.2244858727983202
268435456,1.1228317379951478,0.22265234903007167
536870912,2.245480501651764,0.22267103863355686
1073741824,4.528646302223206,0.22081699789272205
