Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,9.069442749023437e-05,0.08998655004418936
16384,6.749629974365235e-05,0.22796740639995955
32768,0.0001510500907897949,0.3394035168484389
65536,9.098052978515626e-05,0.6731350857604596
131072,0.0001556396484375,0.9325775572939851
262144,0.0001947760581970215,1.3336351992599298
524288,0.0006716966629028321,1.0070800515102607
1048576,0.0010004281997680665,1.0230539467257342
2097152,0.002597486972808838,0.7657579787540715
4194304,0.006577694416046142,0.6056692319048393
8388608,0.015211760997772217,0.5226715893995584
16777216,0.030008220672607423,0.5233202767409812
33554432,0.08255008459091187,0.3785863669194569
67108864,0.16848909854888916,0.3709606200227939
134217728,0.3414948105812073,0.36611564686469206
268435456,0.6837663531303406,0.3656367281036278
536870912,1.3753346920013427,0.36354978954062456
1073741824,2.767854833602905,0.3612908573728738
