Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.00010530948638916015,0.07308078395595828
16384,9.464025497436523e-05,0.16154990416855636
32768,0.00010886192321777344,0.28623501582788347
65536,0.00012470483779907225,0.49053929597946705
131072,0.00017194747924804689,0.7336071051881882
262144,0.00024241209030151367,1.0225732737800903
524288,0.0005545735359191895,0.9769238029318089
1048576,0.000871586799621582,1.1650508553619185
2097152,0.0019681811332702636,1.0031324993494803
4194304,0.0038980841636657715,1.012500443871181
8388608,0.008824706077575684,0.8916694474739574
16777216,0.01971622705459595,0.7960867228475864
33554432,0.05345948934555054,0.5845589464118175
67108864,0.1102109432220459,0.5671046432634459
134217728,0.22068341970443725,0.5664253967664303
268435456,0.44339815378189085,0.5638287075161438
536870912,0.8811439752578736,0.5674448565639396
1073741824,1.76064590215683,0.5679751505790243
