Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,9.294748306274415e-05,0.08842556014338535
16384,7.109642028808593e-05,0.21891726385009905
32768,9.195804595947265e-05,0.3990148524404047
65536,8.983612060546875e-05,0.7022951078133575
131072,0.00014462471008300782,0.9873168120673237
262144,0.00019098520278930663,1.3430713739944138
524288,0.0006413459777832031,1.026185823200561
1048576,0.0011707544326782227,0.8647526373743174
2097152,0.0035346031188964845,0.5558509045037886
4194304,0.010387289524078368,0.3781549237027745
8388608,0.023459863662719727,0.33405028335936515
16777216,0.05102829933166504,0.3068937174446287
33554432,0.1309817910194397,0.23858547610369074
67108864,0.2689244389533997,0.23240833622719723
134217728,0.5457120180130005,0.22906028769041037
268435456,1.0955341458320618,0.2281993699818087
536870912,2.1772151708602907,0.22965192694727618
1073741824,4.389084470272064,0.22783816757489928
