Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.0009950757026672362,0.008927518073040938
16384,0.00025957822799682617,0.05950344920801655
32768,0.00028165578842163084,0.12066441078806549
65536,0.0002559661865234375,0.25808004063576995
131072,0.00030514001846313474,0.4453358346032929
262144,0.0003323078155517578,0.8150380270270816
524288,0.00046048164367675783,1.1570162628884983
1048576,0.0008052468299865722,1.2822424142432718
2097152,0.0025671720504760742,0.7778237674008793
4194304,0.005867886543273926,0.7554490524081249
8388608,0.009062433242797851,0.893155829214803
16777216,0.01592463254928589,0.9826030016942487
33554432,0.03077458143234253,1.015793925378399
67108864,0.06744571924209594,0.9481709009185819
134217728,0.13015812635421753,0.9751854962455029
268435456,0.25374923944473265,0.9891448210989535
536870912,0.5084485173225403,0.988147154782981
1073741824,1.0713149547576903,0.933757617522045
