Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,6.784200668334961e-05,0.11796094562228047
16384,5.033016204833984e-05,0.30455075819674815
32768,5.88536262512207e-05,0.5198447073300357
65536,7.410049438476563e-05,0.8313458621626136
131072,9.772777557373046e-05,1.2719947292335665
262144,0.00015228986740112305,1.6227846171540374
524288,0.00043096542358398435,1.3193471088291848
1048576,0.0007201790809631348,1.3799099116017768
2097152,0.0015618562698364257,1.2648493879672849
4194304,0.0035024166107177736,1.12481031625664
8388608,0.008430027961730957,0.9335665431676052
16777216,0.01826157569885254,0.8583258408357157
33554432,0.0380456805229187,0.8237203695410253
67108864,0.07884305715560913,0.7952240620868958
134217728,0.16149321794509888,0.776178650033845
268435456,0.32523818016052247,0.7704657044697192
536870912,0.6529018998146057,0.7674642629087481
1073741824,1.314884638786316,0.7623742428409175
