Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.00010266304016113282,0.08576110508279312
16384,6.35981559753418e-05,0.24372821697469366
32768,8.18014144897461e-05,0.4074152950594196
65536,0.00010304450988769531,0.6205429911739265
131072,0.0001456737518310547,0.8738029942777661
262144,0.00024336576461791992,1.044811569995616
524288,0.0004902124404907226,1.0366052269364532
1048576,0.0016777157783508302,0.6220268880212342
2097152,0.002979600429534912,0.6694095783154564
4194304,0.006119251251220703,0.6494185738874877
8388608,0.01274406909942627,0.6240510673738087
16777216,0.02597987651824951,0.611783148135051
33554432,0.052721035480499265,0.6021477817675939
67108864,0.10659862756729126,0.5958060504139557
134217728,0.21258419752120972,0.5974212849238453
268435456,0.4273655891418457,0.5943861917226396
536870912,0.850092601776123,0.597649523077037
1073741824,1.7197734713554382,0.5906475756826731
