Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.00019576549530029297,0.07223175603878984
16384,8.697509765625e-05,0.17622191610295057
32768,0.00010800361633300781,0.3043259691670614
65536,0.00011017322540283204,0.558479098475951
131072,0.0001409769058227539,0.8715699327447919
262144,0.00020189285278320311,1.2323098058519928
524288,0.0007610321044921875,0.793753315805394
1048576,0.0009643316268920898,1.034726506037954
2097152,0.0035921573638916016,0.8088038249435353
4194304,0.0050765275955200195,0.8154280681514814
8388608,0.01136474609375,0.735227758092224
16777216,0.02192995548248291,0.7214138803821297
33554432,0.06122963428497315,0.5136003851320005
67108864,0.12159311771392822,0.5141593370725953
134217728,0.24321634769439698,0.5140196260722043
268435456,0.4851310014724731,0.5153293471068401
536870912,0.9670369386672973,0.5170485813010431
1073741824,1.930981492996216,0.517872065134561
