Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.0001108407974243164,0.07811079673069433
16384,7.085800170898437e-05,0.2159515333786349
32768,7.76529312133789e-05,0.39836887203200316
65536,0.00011022090911865235,0.6218779586046033
131072,0.00014460086822509766,0.9743524147941758
262144,0.0001794576644897461,1.39355761854366
524288,0.0008538246154785156,0.886679116490584
1048576,0.0011737585067749024,0.8981325054436399
2097152,0.0026437520980834963,0.7617985771556293
4194304,0.006573128700256348,0.6009282993969205
8388608,0.015421652793884277,0.5144659327150494
16777216,0.031172466278076173,0.5068520847026629
33554432,0.08274714946746826,0.37766811859225863
67108864,0.1686023235321045,0.37069580992875195
134217728,0.34016778469085696,0.3674661626226124
268435456,0.6835216522216797,0.3657562863923646
536870912,1.3667119026184082,0.36584224568150814
1073741824,2.742687940597534,0.3646061149451453
