Tensor Size (bytes),Average Time (seconds),Average Bandwidth (GiB/s)
8192,0.0002135634422302246,0.035832460463694364
16384,0.00026710033416748046,0.06352155139815373
32768,0.00022433996200561525,0.1407527368502424
65536,0.00024845600128173826,0.2548896659164374
131072,0.000274658203125,0.46331065896678386
262144,0.00034459829330444334,0.7282870841344317
524288,0.0004388332366943359,1.154527195819058
1048576,0.0007130742073059082,1.422458959488456
2097152,0.0021071314811706545,0.9401066033292445
4194304,0.005374300479888916,0.7937210909913368
8388608,0.010563790798187256,0.7992809523415068
16777216,0.019085144996643065,0.8221201958319126
33554432,0.04572694301605225,0.6887585151552946
67108864,0.10279486179351807,0.6101367734542744
134217728,0.21879239082336427,0.5724226985158742
268435456,0.4429500699043274,0.5655089061912519
536870912,0.8750926375389099,0.5727092717254728
1073741824,1.8469793915748596,0.542732511837555
